Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score,cluster,gwas,logPVal_enrichment
BLOOD-sex_homogeneous_changing,0.0430085827269496,0.0933010578505968,0.0191438762193594,2.16935904265763,0.445117578993451,0.0098341324485154,1.03802252579087e-08,1.52244883920892e-08,0.681811105278414,BLOOD-sex_homogeneous_changing,ADIPOGen_Adiponectin,-2.00726394682153
HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00616544362771754,0.00428930079004845,3.25335839341074,2.2633623093126,0.31395489998729,4.6723075687248e-08,7.3084951939136e-08,0.639298165320793,HIPPOC-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.503132734389881
CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00105572088814094,0.00282248661447992,0.71078835258972,1.90030398512384,0.878748413804144,-1.35016671461519e-08,6.16187521625211e-08,-0.219116205250974,CORTEX-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.0561354459001186
SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0262561142819374,0.0115553994555355,1.096048850896,0.482374587453592,0.841922354697566,-3.41465397174933e-08,1.73975217906403e-08,-1.96272435398609,SKM-GN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.0747279589531791
SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0709048583311293,0.0169064965666103,1.876312916488,0.447386520855147,0.0442040694612112,1.23764691520235e-08,1.62140442532039e-08,0.763317834757849,SKM-VL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.35453774732072
HEART-sex_homogeneous_changing,0.0355732836517194,0.119122551126625,0.0367933126120757,3.34865210344077,1.0342962143248,0.0224327720658575,6.15719633603313e-08,3.62063144451679e-08,1.70058632876257,HEART-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.64911705639838
KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.00379062848488067,0.00719924149174888,0.380740014293463,0.72310945781247,0.394894113724124,-4.60391729268792e-08,2.4937351372424e-08,-1.84619337632584,KIDNEY-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.403519339791398
ADRNL-sex_homogeneous_changing,0.035065496491538,0.0650974214761569,0.0168677236345873,1.85645229611582,0.481034786963814,0.0727574241629595,7.58894283465132e-09,1.59856976276351e-08,0.47473329043407,ADRNL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.13812268469947
COLON-sex_homogeneous_changing,0.0318228384782221,0.0267662395003811,0.0150907035652807,0.841101572969317,0.474209853266482,0.737604036710442,-3.7165603445865e-08,1.84606826558484e-08,-2.01323017890083,COLON-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.132176715169893
SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0739142508525345,0.0188198708727814,2.55854437062152,0.65145048650287,0.0181762702744716,2.674119965751e-08,2.08235950469144e-08,1.28417785676602,SPLEEN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.74049522812142
BAT-sex_homogeneous_changing,0.0412790532847723,0.0753686659190512,0.0174510530555722,1.82583319920407,0.422758073814883,0.0480592797122227,-3.87806575047109e-09,1.50408053953289e-08,-0.25783630919628,BAT-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.31822274246577
WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.01688387354718,0.0133430060401963,1.62355553540189,1.28306524299217,0.6263432500333,4.70956720849936e-09,4.27591204134708e-08,0.110141816832501,WAT-SC-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.203187598513793
