Quantity,Estimate,SE(Estimate),Estimate_over_h2,SE(Estimate_over_h2),trait,tissue,Estimate_Z,Estimate_over_h2_Z,Estimate_pval,Estimate_over_h2_pval
h2med,0.0600419981191359,0.0306945010764436,0.179996187236461,0.0892753287081618,ADIPOGen_Adiponectin,All_Tissues,1.95611578665518,2.01619181739295,0.0252257579379946,0.0218899608700127
h2nonmed,0.273531723863423,0.0407449621572656,0.820003812763539,0.089275328708207,ADIPOGen_Adiponectin,All_Tissues,6.71326488923113,9.18511110100406,9.51583256636468e-12,0
h2,0.333573721982558,0.0387713858358109,1,0,ADIPOGen_Adiponectin,All_Tissues,8.60360584981864,Inf,0,0
h2med,0.0499545944626744,0.0168718027968531,0.268953523537026,0.0887980422333949,Astle_et_al_2016_Eosinophil_counts,All_Tissues,2.96083323543776,3.0288226719021,0.00153404007782665,0.00122754371398226
h2nonmed,0.135782308351307,0.0181029981043261,0.731046476462975,0.088798042233402,Astle_et_al_2016_Eosinophil_counts,All_Tissues,7.50054259348669,8.23268687097233,3.17523785042795e-14,1.11022302462516e-16
h2,0.185736902813981,0.0121284591992664,1,0,Astle_et_al_2016_Eosinophil_counts,All_Tissues,15.3141384047542,Inf,0,0
h2med,0.0499545944626744,0.0168718027968531,0.268953523537026,0.0887980422333949,Astle_et_al_2016_Eosinophil_counts.txt.sumstats.gz,All_Tissues,2.96083323543776,3.0288226719021,0.00153404007782665,0.00122754371398226
h2nonmed,0.135782308351307,0.0181029981043261,0.731046476462975,0.088798042233402,Astle_et_al_2016_Eosinophil_counts.txt.sumstats.gz,All_Tissues,7.50054259348669,8.23268687097233,3.17523785042795e-14,1.11022302462516e-16
h2,0.185736902813981,0.0121284591992664,1,0,Astle_et_al_2016_Eosinophil_counts.txt.sumstats.gz,All_Tissues,15.3141384047542,Inf,0,0
h2med,0.0292972838447927,0.0085619121888248,0.176181348241404,0.0499206601934249,Astle_et_al_2016_Granulocyte_count,All_Tissues,3.42181550086816,3.52922712878323,0.000311022542088368,0.000208387632037899
h2nonmed,0.136993212494522,0.0115593556600776,0.823818651758596,0.0499206601934114,Astle_et_al_2016_Granulocyte_count,All_Tissues,11.8512844939665,16.5025592323261,0,0
h2,0.166290496339314,0.01020786122946,1,0,Astle_et_al_2016_Granulocyte_count,All_Tissues,16.2904346563213,Inf,0,0
h2med,0.0505588399881764,0.0141234170641183,0.255878902012099,0.0657285445192541,Astle_et_al_2016_High_light_scatter_reticulocyte_count,All_Tissues,3.57978807526863,3.8929646759049,0.000171936486988322,4.95132880292681e-05
h2nonmed,0.147030095991335,0.0155696229757293,0.744121097987902,0.0657285445193285,Astle_et_al_2016_High_light_scatter_reticulocyte_count,All_Tissues,9.44339475789063,11.3211254475456,0,0
h2,0.197588935979512,0.0150405613717739,1,0,Astle_et_al_2016_High_light_scatter_reticulocyte_count,All_Tissues,13.1370718881756,Inf,0,0
