"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"1" 0.487402 0.578555 0.553799 0.569469 0.528314 0.504353 0.52011 0.486771 0.581811 0.589001 0.5025 0.54145 0.504211 0.500344 0.448312
"2" 0.494054 0.537631 0.599134 0.55771 0.512602 0.507193 0.520102 0.496088 0.574085 0.600435 0.525635 0.551182 0.522026 0.514182 0.442293
"3" 0.536114 0.544279 0.597379 0.535617 0.542013 0.522475 0.548354 0.487368 0.56177 0.442426 0.629511 0.630036 0.508151 0.475487 0.467045
"4" 0.465495 0.546904 0.567336 0.490632 0.561055 0.49126 0.517884 0.427258 0.613913 0.581654 0.550088 0.601096 0.490915 0.472348 0.495774
"5" 0.508626 0.621574 0.547652 0.452712 0.507742 0.548673 0.553541 0.560844 0.550794 0.47893 0.634267 0.59997 0.585423 0.506459 0.419779
"6" 0.549124 0.54933 0.722789 0.564956 0.50411 0.518206 0.537277 0.379156 0.635947 0.527004 0.626497 0.639859 0.451795 0.43994 0.447347
"7" 0.509763 0.496358 0.678801 0.541343 0.55363 0.553438 0.553195 0.388081 0.621209 0.477587 0.695387 0.686126 0.616425 0.413797 0.453906
"8" 0.498903 0.673639 0.540491 0.477583 0.510676 0.473746 0.523279 0.473393 0.62825 0.561924 0.685568 0.630635 0.509479 0.497877 0.436184
"9" 0.535506 0.581711 0.545191 0.51747 0.481171 0.540897 0.539555 0.511074 0.546066 0.48771 0.537617 0.562399 0.545918 0.47228 0.465497
"10" 0.492675 0.496407 0.517795 0.519905 0.56338 0.465855 0.578921 0.520627 0.613142 0.526539 0.573696 0.568978 0.49505 0.438977 0.452056
"11" 0.540232 0.595324 0.560408 0.515566 0.532218 0.467243 0.550845 0.456476 0.553293 0.534857 0.604824 0.576813 0.561146 0.516277 0.435533
"12" 0.497951 0.496836 0.509363 0.484811 0.55491 0.533032 0.527831 0.4998 0.612933 0.567827 0.547074 0.598761 0.526832 0.467817 0.478784
"13" 0.46528 0.589782 0.547331 0.554826 0.509201 0.533031 0.5411 0.494272 0.565874 0.510447 0.631264 0.552234 0.538705 0.532311 0.444437
"14" 0.530147 0.552559 0.5265 0.438884 0.559707 0.484092 0.528408 0.500327 0.579327 0.502919 0.555387 0.602017 0.544963 0.448392 0.442498
"15" 0.496549 0.566881 0.539947 0.548575 0.482669 0.556549 0.559775 0.463719 0.579529 0.549781 0.591387 0.554723 0.510151 0.525116 0.436618
"16" 0.48558 0.605149 0.579155 0.516955 0.579692 0.509431 0.511155 0.555784 0.582441 0.507892 0.619569 0.664103 0.648244 0.444639 0.458761
"17" 0.544939 0.608092 0.577056 0.601213 0.519583 0.507408 0.538997 0.37812 0.652 0.587195 0.694895 0.5981 0.524091 0.486786 0.428218
"18" 0.575955 0.544476 0.614755 0.481084 0.476665 0.559881 0.53886 0.42436 0.641898 0.576703 0.69093 0.622524 0.595413 0.452556 0.454242
"19" 0.440994 0.636719 0.543674 0.615838 0.592654 0.479052 0.567895 0.530104 0.572399 0.490173 0.562554 0.701284 0.542145 0.451941 0.446134
"20" 0.424884 0.543751 0.635079 0.527212 0.561259 0.458679 0.579505 0.514964 0.54547 0.445241 0.501339 0.63608 0.539929 0.43968 0.447145
"21" 0.433722 0.567589 0.573212 0.2744 0.498183 0.546112 0.449068 0.427734 0.61476 0.585869 0.688299 0.593079 0.603711 0.483504 0.427805
"22" 0.448799 0.640866 0.564332 0.269941 0.504279 0.548005 0.446609 0.434275 0.611358 0.566904 0.679191 0.613651 0.605682 0.49774 0.437124
