RAT_SYMBOL	NAME	RAT_GENE_RGD_ID	RAT_NCBI_GENE_ID	RAT_ENSEMBL_ID	RAT_UNIPROT_ID	RAT_OLD_SYMBOL	HUMAN_ORTHOLOG_SYMBOL	HUMAN_ORTHOLOG_RGD	HUMAN_ORTHOLOG_NCBI_GENE_ID	HUMAN_ORTHOLOG_ENSEMBL_ID	HUMAN_ORTHOLOG_SOURCE
A1bg	alpha-1-B glycoprotein	69417	140656	ENSRNOG00000004692	Q9EPH1	C44	A1BG	69466	1	ENSG00000121410.12	HGNC
Nat2	N-acetyltransferase 2	70492	116632	ENSRNOG00000049498	G3V9K9;P50298;Q45G59	AT-2;NAT-2;Nat2a	NAT2	732527	10	ENSG00000156006.5	RGD
Ada	adenosine deaminase	2031	24165	ENSRNOG00000010265	Q920P6	MGC108610	ADA	736149	100	ENSG00000196839.13	HGNC
Cdh2	cadherin 2	69280	83501	ENSRNOG00000015602	G3V803;Q9Z1Y3	N-cadherin	CDH2	731820	1000	ENSG00000170558.10	HGNC
Akt3	AKT serine/threonine kinase 3	62390	29414	ENSRNOG00000021497	A0A0G2JXD7;F1M6A8;Q63484	Pkbg	AKT3	735623	10000	ENSG00000117020.19	HGNC
Akt3	AKT serine/threonine kinase 3	62390	29414	ENSRNOG00000021497	A0A0G2JXD7;F1M6A8;Q63484	Pkbg	AKT3	735623	10000	ENSG00000275199.4	HGNC
Med6	mediator complex subunit 6	1310296	299180	ENSRNOG00000006976	B0BNE1	LOC299180	MED6	1321116	10001	ENSG00000133997.12	HGNC
Nr2e3	nuclear receptor subfamily 2, group E, member 3	2318602	100365683	ENSRNOG00000050690	M0R4U8	LOC100365683	NR2E3	1351565	10002	ENSG00000278570.5	HGNC
Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	1305872	300384	ENSRNOG00000005955	B5DF85;D4A2Y7	LOC300384	NAALAD2	1314164	10003	ENSG00000077616.11	HGNC
Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	1305872	300384	ENSRNOG00000005955	B5DF85;D4A2Y7	LOC300384	NAALAD2	1314164	10003	ENSG00000285516.2	HGNC
Mir675	microRNA 675	2314883	100314133	ENSRNOG00000040350	NA	rno-mir-675	MIR675	2290195	100033819	ENSG00000284010.1	HGNC
Mir675	microRNA 675	2314883	100314133	ENSRNOG00000040350	NA	rno-mir-675	MIR675	2290195	100033819	ENSG00000288367.1	HGNC
Naaladl1	N-acetylated alpha-linked acidic dipeptidase-like 1	620987	83568	ENSRNOG00000021000	O54697	I100	NAALADL1	732561	10004	ENSG00000168060.16	HGNC
Acot8	acyl-CoA thioesterase 8	70368	170588	ENSRNOG00000015187	F7F557;Q6AZ44;Q8VHK0	PTE-1;PTE-2;Pte1	ACOT8	70372	10005	ENSG00000101473.17	HGNC
Abi1	abl-interactor 1	621008	79249	ENSRNOG00000031325	A2VD09;Q9QZM5	E3b1;abi-1	ABI1	1604650	10006	ENSG00000136754.18	HGNC
Gnpda1	glucosamine-6-phosphate deaminase 1	1585624	683570	ENSRNOG00000047213	B5DFC6;M0RCH5	LOC683570;MGC189374	GNPDA1	1349274	10007	ENSG00000113552.16	HGNC
Kcne3	potassium voltage-gated channel subfamily E regulatory subunit 3	621384	63883	ENSRNOG00000017054	Q9JJV7	MGC105432	KCNE3	1347000	10008	ENSG00000175538.11	HGNC
Zbtb33	zinc finger and BTB domain containing 33	1566309	501506	ENSRNOG00000028899	D3ZAN8	LOC100910807;LOC501506;RGD1566309	ZBTB33	1351169	10009	ENSG00000177485.7	RGD
Zbtb33	zinc finger and BTB domain containing 33	1566309	501506	ENSRNOG00000046156	D3ZAN8	LOC100910807;LOC501506;RGD1566309	ZBTB33	1351169	10009	ENSG00000177485.7	RGD
Cdh3	cadherin 3	621089	116777	ENSRNOG00000020129	F1LMI3	NA	CDH3	1353368	1001	ENSG00000062038.15	HGNC
Tank	TRAF family member-associated NFKB activator	628859	252961	ENSRNOG00000008859	F1M101;Q5HZX1;Q8VDA2	NA	TANK	734196	10010	ENSG00000136560.14	HGNC
Zscan30	zinc finger and SCAN domain containing 30	1306095	364827	NA	NA	LOC364827;Zfp397os;Znf397;Znf397os;Zpf397os	ZSCAN30	2290512	100101467	ENSG00000186814.14	HGNC
Sra1	steroid receptor RNA activator 1	621148	252891	ENSRNOG00000018089	G3V8C6;Q5BKE4;Q6QGW5	SRAP	SRA1	1353576	10011	ENSG00000213523.12	HGNC
Tmem170b	transmembrane protein 170B	1561506	361230	ENSRNOG00000031495	Q7TQ79	Ac1258;LOC361230	TMEM170B	2293893	100113407	ENSG00000205269.6	HGNC
Snora36c	small nucleolar RNA, H/ACA box 36C	2325445	100314170	ENSRNOG00000043820	NA	Mir664-1;rno-mir-664-1	SNORA36C	1642102	100124535	ENSG00000207016.1	HGNC
Zglp1	zinc finger, GATA-like protein 1	2322460	100360291	ENSRNOG00000042601	D3ZEB4	LOC100360291	ZGLP1	3418338	100125288	ENSG00000220201.7	HGNC
Mir298	microRNA 298	2325373	100314250	ENSRNOG00000035566	NA	rno-mir-298	MIR298	2290256	100126296	ENSG00000216031.1	HGNC
Mir300	microRNA 300	2325424	100314196	ENSRNOG00000035634	NA	rno-mir-300	MIR300	2290255	100126297	ENSG00000215957.1	HGNC
Mir541	microRNA 541	2325525	100314080	ENSRNOG00000036486	NA	rno-mir-541	MIR541	2290246	100126308	ENSG00000216179.1	HGNC
Mir875	microRNA 875	2325477	100314134	ENSRNOG00000041348	NA	rno-mir-875	MIR875	2290245	100126309	ENSG00000216069.1	HGNC
Mir876	microRNA 876	2325412	100314210	ENSRNOG00000041320	NA	rno-mir-876	MIR876	2290244	100126310	ENSG00000215966.1	HGNC
Mir147	microRNA 147	2325507	100314100	ENSRNOG00000036445	NA	rno-mir-147	MIR147B	2290243	100126311	ENSG00000284386.1	HGNC
Mir877	microRNA 877	2325510	100314097	ENSRNOG00000041223	NA	rno-mir-877	MIR877	2290241	100126314	ENSG00000216101.3	HGNC
Mir665	microRNA 665	2325437	100314180	ENSRNOG00000040355	NA	rno-mir-665	MIR665	2290240	100126315	ENSG00000283159.1	HGNC
Mir873	microRNA 873	2325356	100314267	ENSRNOG00000041305	NA	rno-mir-873	MIR873	2290239	100126316	ENSG00000215939.3	HGNC
Mir374b	microRNA 374b	2325517	100314088	ENSRNOG00000036562	NA	Mir374;rno-mir-374	MIR374B	2290238	100126317	ENSG00000212027.3	HGNC
Mir301b	microRNA 301b	2325503	100314104	ENSRNOG00000040402	NA	rno-mir-301b	MIR301B	2290237	100126318	ENSG00000212102.1	HGNC
Mir216b	microRNA 216b	4888592	100526583	ENSRNOG00000036371	NA	rno-mir-216b	MIR216B	2290236	100126319	ENSG00000211520.2	HGNC
Mir708	microRNA 708	2325357	100314266	ENSRNOG00000040447	NA	rno-mir-708	MIR708	2290222	100126333	ENSG00000211997.1	HGNC
Mir208b	microRNA 208b	4888543	100526635	ENSRNOG00000041381	NA	rno-mir-208b	MIR208B	2290220	100126336	ENSG00000215991.1	HGNC
Mir874	microRNA 874	2325511	100314096	ENSRNOG00000041300	NA	rno-mir-874	MIR874	2290213	100126343	ENSG00000216009.3	HGNC
Mir190b	microRNA 190b	2325504	100314103	ENSRNOG00000041245	NA	rno-mir-190b	MIR190B	2290210	100126346	ENSG00000215938.3	HGNC
Mir760	microRNA 760	2325489	100314118	ENSRNOG00000040385	NA	rno-mir-760	MIR760	2290208	100126348	ENSG00000211575.3	HGNC
Mir365b	microRNA 365b	2325371	100314252	ENSRNOG00000035655	NA	Mir365;rno-mir-365	MIR365B	2290202	100126356	ENSG00000283978.1	HGNC
Gje1	gap junction protein, epsilon 1	1598009	681263	ENSRNOG00000012092	G3V7K4;Q45KZ1	Cxnt;LOC308377;LOC681263;RGD1308189	GJE1	2302326	100126572	ENSG00000203733.5	HGNC
Minar2	membrane integral NOTCH2 associated receptor 2	1312005	291580	ENSRNOG00000022429	A0A0G2JZK9;B2GUX6;F7EQ04	LOC291580;RGD1312005	MINAR2	2291767	100127206	ENSG00000186367.7	HGNC
LOC100912373	uncharacterized LOC100912373	6487307	100912373	ENSRNOG00000047537	A0A1W2Q6G0;A0A1W2Q6K5;M0RA96	LOC689147	C8orf88	7409763	100127983	ENSG00000253250.3	HGNC
Fam229a	family with sequence similarity 229, member A	1564163	500554	ENSRNOG00000042787	D4A5X2	LOC500554;RGD1564163	FAM229A	7204883	100128071	ENSG00000225828.2	HGNC
Trappc3l	trafficking protein particle complex subunit 3L	2318506	100362279	ENSRNOG00000031290	D3ZEX3	Bet3l;LOC100362279	TRAPPC3L	1342888	100128327	ENSG00000173626.10	HGNC
LOC690617	hypothetical protein LOC690617	1593449	690617	ENSRNOG00000039861	D4A8Z4	NA	C19orf71	2301120	100128569	ENSG00000183397.6	HGNC
Ost4	oligosaccharyltransferase complex subunit 4, non-catalytic	2300150	100188932	ENSRNOG00000008605	B0BLS0	LOC100188932;MGC187574	OST4	3418321	100128731	ENSG00000228474.6	HGNC
Lmln2	leishmanolysin like peptidase 2	1560492	361039	ENSRNOG00000057827	A0A0G2JX27	LOC361039;RGD1560492	LMLN2	13208685	100128908	ENSG00000283654.3	HGNC
Zbtb42	zinc finger and BTB domain containing 42	1582758	691556	ENSRNOG00000037562	B1WBS3	LOC691556	ZBTB42	2290506	100128927	ENSG00000179627.10	HGNC
Btnl10	butyrophilin like 10	1559732	497912	ENSRNOG00000043019	D3Z841	LOC497912;RGD1559732	BTNL10	6480792	100129094	NA	HGNC
LOC103694487	protein gar2-like	9476443	103694487	ENSRNOG00000051633	A0A0G2JXX5	NA	CXorf51A	2293161	100129239	ENSG00000224440.2	HGNC
LOC103694487	protein gar2-like	9476443	103694487	ENSRNOG00000057166	A0A0G2JXX5	NA	CXorf51A	2293161	100129239	ENSG00000224440.2	HGNC
LOC686143	similar to keratinocytes proline-rich protein	1585456	686143	ENSRNOG00000023511	F1M6N0	LOC502544	C1orf68	1602382	100129271	ENSG00000198854.5	HGNC
Tdrd15	tudor domain containing 15	7716193	102556253	ENSRNOG00000060052	A0A0G2K972	LOC100361354;LOC102546493;LOC102556253	TDRD15	7207353	100129278	ENSG00000218819.6	HGNC
Smim10l1	small integral membrane protein 10 like 1	2322729	100360120	ENSRNOG00000047309	M0R8T4	LOC100360120;Smim10l1b	SMIM10L1	9845236	100129361	ENSG00000262986.1	HGNC
Smim10l1	small integral membrane protein 10 like 1	2322729	100360120	ENSRNOG00000047309	M0R8T4	LOC100360120;Smim10l1b	SMIM10L1	9845236	100129361	ENSG00000256537.5	HGNC
Smim10l1	small integral membrane protein 10 like 1	2322729	100360120	ENSRNOG00000047309	M0R8T4	LOC100360120;Smim10l1b	SMIM10L1	9845236	100129361	ENSG00000281930.1	HGNC
Mkrn2os	MKRN2 opposite strand	2320714	100361147	ENSRNOG00000052003	A0A0G2K9B0	LOC100361147	MKRN2OS	6481351	100129480	ENSG00000225526.6	HGNC
Tex13c	TEX13 family member C	1563975	298164	ENSRNOG00000045953	A1A5Q8	LOC298164;RGD1563975	TEX13C	10449326	100129520	ENSG00000282815.1	HGNC
Fam47e	family with sequence similarity 47, member E	1585459	686140	NA	NA	Fam47e-ps1;LOC686140	FAM47E	2302124	100129583	ENSG00000189157.14	RGD
Tcf24	transcription factor 24	1589398	680678	ENSRNOG00000052668	A0A0G2JWM6	NA	TCF24	1602784	100129654	ENSG00000261787.2	HGNC
Izumo3	IZUMO family member 3	2324467	100362588	ENSRNOG00000022488	D3ZRD5	LOC100362588	IZUMO3	1351856	100129669	ENSG00000205442.13	HGNC
Ccdc152	coiled-coil domain containing 152	1561503	499536	ENSRNOG00000039473	F1M7D1	LOC499536;RGD1561503	CCDC152	2298815	100129792	ENSG00000198865.10	HGNC
Tmem269	transmembrane protein 269	1563015	500537	ENSRNOG00000006658	D3ZGY5	LOC500537;RGD1563015	TMEM269	11563379	100129924	ENSG00000274386.6	HGNC
Fam205c	family with sequence similarity 205, member C	1561387	500445	ENSRNOG00000022751	A0A0G2JV98;A0A0H2UHW0;Q642A3	Fam205cp;LOC500445	FAM205C	5487895	100129969	ENSG00000187791.13	HGNC
Hdac6	histone deacetylase 6	619981	108348065	ENSRNOG00000047281	A0A0G2QC41;A0A1L5YJQ7;D3ZVD8	LOC100911205;LOC108348065	HDAC6	1351463	10013	ENSG00000094631.21	HGNC
Hdac6	histone deacetylase 6	619981	108348065	ENSRNOG00000048738	A0A0G2QC41;A0A1L5YJQ7;D3ZVD8	LOC100911205;LOC108348065	HDAC6	1351463	10013	ENSG00000094631.21	HGNC
Kif28p	kinesin family member 28, pseudogene	1559696	289309	ENSRNOG00000050602	F8WLE0	KLP6;LOC289309;RGD1559696	KIF28P	7381295	100130097	NA	HGNC
Ccdc166	coiled-coil domain containing 166	1588167	680799	ENSRNOG00000047521	M0R4R5	LOC680799	CCDC166	5134207	100130274	ENSG00000278749.1	HGNC
Ccdc166	coiled-coil domain containing 166	1588167	680799	ENSRNOG00000047521	M0R4R5	LOC680799	CCDC166	5134207	100130274	ENSG00000255181.3	HGNC
LOC100912291	uncharacterized LOC100912291	6487565	100912291	NA	NA	NA	C8orf89	9586312	100130301	ENSG00000274443.5	HGNC
LOC687707	hypothetical protein LOC687707	1597577	687707	ENSRNOG00000042847	D3ZP65	NA	C17orf107	3051040	100130311	ENSG00000205710.4	HGNC
Tmem262	transmembrane protein 262	2318452	100365733	ENSRNOG00000047431	M0R6P8	LOC100365733	TMEM262	7409565	100130348	ENSG00000187066.9	HGNC
LOC100361265	rCG64283-like	2320498	100361265	ENSRNOG00000025211	F1LU46	NA	CXorf49	2303429	100130361	ENSG00000215115.7	HGNC
Tmem221	transmembrane protein 221	2319149	100361931	ENSRNOG00000018167	D3ZFM0	LOC100361931	TMEM221	2307389	100130519	ENSG00000188051.7	HGNC
Prr32	proline rich 32	1583341	683753	ENSRNOG00000049388	M0R6K3	LOC683753	PRR32	2299192	100130613	ENSG00000183631.5	HGNC
Atp6v1fnb	ATP6V1F neighbor	9472094	103692087	ENSRNOG00000042149	D4A609	LOC100361741;LOC103692087	ATP6V1FNB	13524988	100130705	ENSG00000272899.4	HGNC
Lrrc69	leucine rich repeat containing 69	1583733	500415	ENSRNOG00000006498	A0A1W2Q640;A0A1W2Q6P1;D3Z998	LOC500415	LRRC69	2293909	100130742	ENSG00000214954.8	HGNC
Efcab10	EF-hand calcium binding domain 10	1307943	362727	ENSRNOG00000010730	D4AA55	LOC362727;RGD1307943	EFCAB10	2301274	100130771	ENSG00000185055.11	HGNC
Sbk3	SH3 domain binding kinase family, member 3	1583965	691408	ENSRNOG00000042927	D3ZNQ2	LOC691408	SBK3	7386817	100130827	ENSG00000231274.5	HGNC
Tstd3	thiosulfate sulfurtransferase like domain containing 3	1563572	500420	ENSRNOG00000028185	G3V8W9	LOC500420	TSTD3	6769372	100130890	ENSG00000279170.3	HGNC
LOC687679	similar to small nuclear ribonucleoprotein polypeptide G	1583028	687679	ENSRNOG00000016507	B5DEP7	NA	SNRPGP15	7393682	100130932	NA	HGNC
LOC687679	similar to small nuclear ribonucleoprotein polypeptide G	1583028	687679	ENSRNOG00000032232	B5DEP7	NA	SNRPGP15	7393682	100130932	NA	HGNC
Smim6	small integral membrane protein 6	7720946	102552551	NA	NA	LOC102552551	SMIM6	5134215	100130933	ENSG00000259120.3	HGNC
Syce1l	synaptonemal complex central element protein 1-like	2320134	100361431	ENSRNOG00000031097	D4AAR3	LOC100361431	SYCE1L	2902459	100130958	ENSG00000205078.6	HGNC
