"feature_ID" "human_ensembl_gene"
"1" "ENSRNOG00000000007" "ENSG00000128683"
"9" "ENSRNOG00000000024" "ENSG00000013583"
"17" "ENSRNOG00000000033" "ENSG00000133069"
"25" "ENSRNOG00000000034" "ENSG00000163545"
"33" "ENSRNOG00000000040" "ENSG00000135835"
"41" "ENSRNOG00000000041" "ENSG00000145217"
"49" "ENSRNOG00000000042" "ENSG00000143324"
"57" "ENSRNOG00000000043" "ENSG00000127415"
"65" "ENSRNOG00000000044" "ENSG00000127419"
"73" "ENSRNOG00000000047" "ENSG00000085117"
"81" "ENSRNOG00000000048" "ENSG00000178950"
"89" "ENSRNOG00000000054" "ENSG00000127220"
"97" "ENSRNOG00000000062" "ENSG00000185619"
"105" "ENSRNOG00000000064" "ENSG00000169020"
"113" "ENSRNOG00000000066" "ENSG00000143756"
"121" "ENSRNOG00000000068" "ENSG00000066027"
"129" "ENSRNOG00000000070" "ENSG00000117505"
"137" "ENSRNOG00000000073" "ENSG00000117500"
"145" "ENSRNOG00000000075" "ENSG00000143033"
"153" "ENSRNOG00000000081" "ENSG00000163297"
"161" "ENSRNOG00000000082" "ENSG00000071794"
"169" "ENSRNOG00000000095" "ENSG00000117262"
"177" "ENSRNOG00000000095" "ENSG00000188092"
"185" "ENSRNOG00000000096" "ENSG00000174827"
"193" "ENSRNOG00000000097" "ENSG00000117281"
"201" "ENSRNOG00000000098" "ENSG00000265491"
"209" "ENSRNOG00000000104" "ENSG00000051596"
"217" "ENSRNOG00000000108" "ENSG00000038002"
"225" "ENSRNOG00000000111" "ENSG00000172301"
"233" "ENSRNOG00000000112" "ENSG00000198824"
"241" "ENSRNOG00000000113" "ENSG00000141642"
"249" "ENSRNOG00000000121" "ENSG00000060642"
"257" "ENSRNOG00000000122" "ENSG00000004455"
"265" "ENSRNOG00000000123" "ENSG00000116514"
"273" "ENSRNOG00000000127" "ENSG00000025800"
"281" "ENSRNOG00000000130" "ENSG00000137094"
"289" "ENSRNOG00000000133" "ENSG00000113621"
"297" "ENSRNOG00000000137" "ENSG00000112799"
"305" "ENSRNOG00000000142" "ENSG00000120594"
