rat_ensembl_gene,ome,tissue,node,rat_gene_symbol,human_gene_symbol,human_ensembl_gene,chr,gene_start,gene_end,male.logFC,male.phenotypic_expression_Z,male.genetic_expression_Z,female.logFC,female.phenotypic_expression_Z,female.genetic_expression_Z,num_twas_hits,twas_hits
ENSRNOG00000000108,TRNSCRPT,ADRNL,8w_F1_M1,Aga,AGA,ENSG00000038002,chr4,177430770,177442503,0.237406255411548,0.489677118540773,,0.247522200454919,0.423959049928426,,0,""
ENSRNOG00000000204,TRNSCRPT,ADRNL,8w_F-1_M-1,Syncrip,SYNCRIP,ENSG00000135316,chr6,85607785,85643792,-0.272064731822897,-0.577600837918542,,-0.150567047179939,-0.263339904557526,,1,pgc.scz2
ENSRNOG00000000304,TRNSCRPT,ADRNL,8w_F-1_M-1,Cd164,CD164,ENSG00000135535,chr6,109366514,109382457,-0.350757316533862,-0.744239707119021,,-0.0852830113344147,-0.149028344720499,,3,"Astle_et_al_2016_Lymphocyte_counts, Astle_et_al_2016_Red_blood_cell_count, UKB_23099_Body_fat_percentage"
ENSRNOG00000000316,TRNSCRPT,ADRNL,8w_F-1_M-1,Sobp,SOBP,ENSG00000112320,chr6,107489958,107660167,-0.323242443332341,-0.677762294917021,,-0.265675860063939,-0.458963127215593,,0,""
ENSRNOG00000000417,TRNSCRPT,ADRNL,8w_F1_M1,Numa1,NUMA1,ENSG00000137497,chr11,72003887,72080330,0.11622829230351,0.245545585253947,,0.08274050256296,0.144364609612512,,0,""
ENSRNOG00000000421,TRNSCRPT,ADRNL,8w_F1_M1,Skiv2l,SKIV2L,ENSG00000204351,chr6,31959111,31969755,0.232938493038704,0.490302353100958,,0.132885204629454,0.231461360887407,,14,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_High_light_scatter_reticulocyte_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Reticulocyte_count, Astle_et_al_2016_Sum_eosinophil_basophil_counts, IBD.EUR.Crohns_Disease, IMMUNOBASE_Multiple_sclerosis_hg19, IMMUNOBASE_Systemic_lupus_erythematosus_hg19, RA_OKADA_TRANS_ETHNIC, UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis, UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema, UKB_20002_1464_self_reported_rheumatoid_arthritis, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000000459,TRNSCRPT,ADRNL,8w_F1_M1,Psmb9,PSMB9,ENSG00000240065,chr6,32854161,32859585,0.404161466043926,0.792462738341414,,0.222031410514564,0.367296126831668,,17,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_eosinophil_basophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, Astle_et_al_2016_White_blood_cell_count, IBD.EUR.Crohns_Disease, IMMUNOBASE_Multiple_sclerosis_hg19, RA_OKADA_TRANS_ETHNIC, UKB_20002_1222_self_reported_type_1_diabetes, UKB_20002_1453_self_reported_psoriasis, UKB_20002_1464_self_reported_rheumatoid_arthritis, UKB_50_Standing_height, UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema"
ENSRNOG00000000470,TRNSCRPT,ADRNL,8w_F1_M1,Vps52,VPS52,ENSG00000206286,chr6,33250272,33272009,0.167589994172501,0.35473937109794,,0.107210541893735,0.187242076305454,,0,""
ENSRNOG00000000848,TRNSCRPT,ADRNL,8w_F1_M1,Gpank1,GPANK1,ENSG00000236011,chr6,31661229,31666283,0.228303355569341,0.479825393642036,,0.251764719288836,0.437897644725502,,0,""
ENSRNOG00000000869,TRNSCRPT,ADRNL,8w_F1_M1,Arhgef6,ARHGEF6,ENSG00000129675,chrX,136665547,136782088,0.578372294628997,1.20089147292374,,0.395646955456921,0.672222506811897,,0,""
ENSRNOG00000000902,TRNSCRPT,ADRNL,8w_F-1_M-1,Hsph1,HSPH1,ENSG00000120694,chr13,31134974,31162388,-0.252870876355249,-0.480944800417595,,-0.338252298139396,-0.540789145132498,,0,""
ENSRNOG00000000922,TRNSCRPT,ADRNL,8w_F1_M1,Sumf2,SUMF2,ENSG00000129103,chr7,56064002,56080282,0.118768488912384,0.24753598145915,0.247536600301424,0.218783969914008,0.377123368451364,0.377124311263321,0,""
ENSRNOG00000000925,TRNSCRPT,ADRNL,8w_F-1_M-1,Psph,PSPH,ENSG00000146733,chr7,56011051,56051604,-0.291827440796431,-0.602191995380863,,-0.448110159762936,-0.766520032688894,,2,"GIANT_HEIGHT, UKB_50_Standing_height"
ENSRNOG00000000938,TRNSCRPT,ADRNL,8w_F-1_M-1,Ran,RAN,ENSG00000132341,chr12,130871879,130877678,-0.188771733510182,-0.393846337408993,,-0.106392351956322,-0.184037902512685,,0,""
ENSRNOG00000001010,TRNSCRPT,ADRNL,8w_F1_M1,Tecpr1,TECPR1,ENSG00000205356,chr7,98214624,98252251,0.247074037980218,0.518913983803607,,0.0661815725473145,0.114838948424482,,2,"UKB_21001_Body_mass_index_BMI, UKB_50_Standing_height"
ENSRNOG00000001044,TRNSCRPT,ADRNL,8w_F-1_M-1,Aimp2,AIMP2,ENSG00000106305,chr7,6009245,6018045,-0.379780811325547,-0.792763113453706,,-0.164792552518573,-0.284936917781292,,0,""
ENSRNOG00000001111,TRNSCRPT,ADRNL,8w_F1_M1,Brca2,BRCA2,ENSG00000139618,chr13,32315474,32400266,0.481963982372777,0.93966317794219,,0.195516728753164,0.319371276963099,,0,""
ENSRNOG00000001178,TRNSCRPT,ADRNL,8w_F1_M1,Sppl3,SPPL3,ENSG00000157837,chr12,120762510,120904371,0.096461425196895,0.20414116783991,,0.196745620164331,0.343008354231125,,11,"Astle_et_al_2016_Eosinophil_counts, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Sum_eosinophil_basophil_counts, GIANT_HEIGHT, SSGAC_Education_Years_Pooled, TAGC_Asthma_EUR, UKB_20002_1111_self_reported_asthma, UKB_20002_1473_self_reported_high_cholesterol, UKB_50_Standing_height, UKB_6152_8_diagnosed_by_doctor_Asthma, UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema"
ENSRNOG00000001187,TRNSCRPT,ADRNL,8w_F-1_M-1,Oasl,OASL,ENSG00000135114,chr12,121019111,121039242,-0.257955776134514,-0.375408546604572,,-0.880522814181053,-1.19437603558013,,1,UKB_50_Standing_height
ENSRNOG00000001201,TRNSCRPT,ADRNL,8w_F-1_M-1,Cstb,CSTB,ENSG00000160213,chr21,43772511,43776445,-0.46752630159346,-0.973343855629036,,-0.12945033481774,-0.223907733524314,,0,""
